"sno (N)","city (S)","competition (S)","date (S)","gender (S)","match_referee (S)","season (S)","team0 (S)","team1 (S)","toss_decision (S)","toss_winner (S)","umpire (S)","venue (S)","player_of_match (S)","tv_umpire (S)","winner (S)","match_number (S)","umpire13 (S)","reserve_umpire (S)","winner_wickets (S)","winner_runs (S)","neutralvenue (S)","1 (S)","reserve_umpire13 (S)","outcome (S)"
"345","Chennai","Indian Premier League","2013/04/22","male","RR Jadeja","2013","Chennai Super Kings","Rajasthan Royals","bat","Rajasthan Royals","S Asnani","MA Chidambaram Stadium","MEK Hussey","Asad Rauf","Chennai Super Kings","30","AK Chaudhary","K Srinivasan","5",,,,,
"296","Hyderabad","Indian Premier League","2012/05/08","male","J Srinath","2012","Deccan Chargers","Kings XI Punjab","field","Deccan Chargers","HDPK Dharmasena","Rajiv Gandhi International Stadium","Mandeep Singh","C Shamshuddin","Kings XI Punjab","53","BNJ Oxenford","KN Ananthapadmanabhan",,"25",,,,
"611","Kolkata","Indian Premier League","2017/05/13","male","J Srinath","2017","Kolkata Knight Riders","Mumbai Indians","field","Kolkata Knight Riders","A Nand Kishore","Eden Gardens","AT Rayudu","VK Sharma","Mumbai Indians","54","S Ravi","Navdeep Singh",,"9",,,,
"75","Durban","Indian Premier League","2009/04/29","male","D Govindjee","2009","Royal Challengers Bangalore","Kolkata Knight Riders","bat","Kolkata Knight Riders","TH Wijewardene","Kingsmead","MV Boucher","SL Shastri","Royal Challengers Bangalore","19","MR Benson","ZTA Ndamane",,,"true",,,
"578","Rajkot","Indian Premier League","2017/04/18","male","J Srinath","2017","Gujarat Lions","Royal Challengers Bangalore","field","Gujarat Lions","S Ravi","Saurashtra Cricket Association Stadium","CH Gayle","A Nand Kishore","Royal Challengers Bangalore","20","VK Sharma","Navdeep Singh",,"21",,,,
"254","Bangalore","Indian Premier League","2012/04/10","male","Raju Mukherjee","2012","Royal Challengers Bangalore","Kolkata Knight Riders","field","Royal Challengers Bangalore","S Ravi","M Chinnaswamy Stadium","L Balaji","S Asnani","Kolkata Knight Riders","10","RJ Tucker","BK Ravi",,"42",,,,
"163","Chennai","Indian Premier League","2010/04/15","male","GR Viswanath","2009/10","Chennai Super Kings","Delhi Daredevils","bat","Chennai Super Kings","HDPK Dharmasena","MA Chidambaram Stadium","G Gambhir","SJA Taufel","Delhi Daredevils","50","SS Hazare","J Madanagopal","6",,,,,
"89","Centurion","Indian Premier League","2009/05/07","male","S Venkataraghavan","2009","Royal Challengers Bangalore","Rajasthan Royals","field","Rajasthan Royals","DJ Harper","SuperSport Park","A Singh","TH Wijewardene","Rajasthan Royals","33","K Hariharan","JD Cloete",,,"true",,,
"518","Pune","Indian Premier League","2016/04/24","male","Chinmay Sharma","2016","Rising Pune Supergiants","Kolkata Knight Riders","field","Kolkata Knight Riders","CB Gaffaney","Maharashtra Cricket Association Stadium","SA Yadav","VK Sharma","Kolkata Knight Riders","20","A Nand Kishore","YC Barde","2",,,,,
"587","Pune","Indian Premier League","2017/04/26","male","AJ Pycroft","2017","Rising Pune Supergiant","Kolkata Knight Riders","field","Kolkata Knight Riders","AY Dandekar","Maharashtra Cricket Association Stadium","RV Uthappa","CB Gaffaney","Kolkata Knight Riders","30","NJ Llong","N Pandit","7",,,,,
"32","Chennai","Indian Premier League","2008/05/10","male","J Srinath","2007/08","Chennai Super Kings","Kings XI Punjab","field","Kings XI Punjab","AV Jayaprakash","MA Chidambaram Stadium","L Balaji","I Shivram","Chennai Super Kings","31","BG Jerling","S Ravi",,"18",,,,
"131","Bangalore","Indian Premier League","2010/03/23","male","AJ Pycroft","2009/10","Royal Challengers Bangalore","Chennai Super Kings","field","Chennai Super Kings","RE Koertzen","M Chinnaswamy Stadium","RV Uthappa","BG Jerling","Royal Challengers Bangalore","18","RB Tiffin","KN Ananthapadmanabhan",,"36",,,,
"696","Bangalore","Indian Premier League","2008/04/18","male","J Srinath","2007/08","Royal Challengers Bangalore","Kolkata Knight Riders","field","Royal Challengers Bangalore","Asad Rauf","M Chinnaswamy Stadium","BB McCullum","AM Saheba","Kolkata Knight Riders","1","RE Koertzen","VN Kulkarni",,"140",,,,
"435","Mumbai","Indian Premier League","2014/05/25","male","AJ Pycroft","2014","Mumbai Indians","Rajasthan Royals","field","Mumbai Indians","K Srinath","Wankhede Stadium","CJ Anderson","S Ravi","Mumbai Indians","56","RJ Tucker","R Pandit","5",,,,,
"300","Kolkata","Indian Premier League","2012/05/12","male","J Srinath","2012","Kolkata Knight Riders","Mumbai Indians","bat","Mumbai Indians","S Ravi","Eden Gardens","RG Sharma","JD Cloete","Mumbai Indians","58","SJA Taufel","AS Pathania",,"27",,,,
"342","Bangalore","Indian Premier League","2013/04/20","male","AJ Pycroft","2013","Royal Challengers Bangalore","Rajasthan Royals","field","Royal Challengers Bangalore","Aleem Dar","M Chinnaswamy Stadium","R Vinay Kumar","S Das","Royal Challengers Bangalore","27","C Shamshuddin","KN Ananthapadmanabhan","7",,,,,
"238","Mumbai","Indian Premier League","2011/05/20","male","J Srinath","2011","Mumbai Indians","Rajasthan Royals","bat","Mumbai Indians","RE Koertzen","Wankhede Stadium","SR Watson","S Asnani","Rajasthan Royals","66","PR Reiffel","VA Kulkarni","10",,,,,
"341","Kolkata","Indian Premier League","2013/04/20","male","Raju Mukherjee","2013","Kolkata Knight Riders","Chennai Super Kings","bat","Kolkata Knight Riders","Asad Rauf","Eden Gardens","RA Jadeja","S Asnani","Chennai Super Kings","26","AK Chaudhary","AS Pathania","4",,,,,
